name,category,out,in,self,net,out_in_ratio,strength,role
Optics,Physics & Astronomy,11260.0,11185.0,8481.0,-75.0,1.0067,22219.0,bridge
Virology,Other,10510.0,10533.0,9183.0,23.0,0.9978,20981.0,bridge
Substance Abuse,Medicine & Health,10107.0,10139.0,9030.0,32.0,0.9968,20127.0,bridge
Biodiversity & Conservation,Earth & Environmental,9983.0,9969.0,7388.0,-14.0,1.0014,19440.0,bridge
Dermatology,Medicine & Health,9824.0,9864.0,9122.0,40.0,0.9959,19643.0,bridge
Respiratory System,Medicine & Health,9693.0,9680.0,8795.0,-13.0,1.0013,19343.0,bridge
Food Science & Technology,Other,9305.0,9190.0,7376.0,-115.0,1.0125,18415.0,bridge
Geology,Earth & Environmental,8801.0,8774.0,6433.0,-27.0,1.0031,17047.0,bridge
Biophysics,Biology & Biochemistry,8086.0,8093.0,6747.0,7.0,0.9991,16100.0,bridge
Ophthalmology,Medicine & Health,7596.0,7609.0,6921.0,13.0,0.9983,15176.0,bridge
Mathematics,Mathematics & Computer Science,7473.0,7480.0,6218.0,7.0,0.9991,14783.0,bridge
Physical Geography,Earth & Environmental,5565.0,5538.0,4261.0,-27.0,1.0049,10807.0,bridge
Veterinary Sciences,Other,5374.0,5377.0,4713.0,3.0,0.9994,10684.0,bridge
Rehabilitation,Other,5340.0,5325.0,4788.0,-15.0,1.0028,10648.0,bridge
Medical Laboratory Technology,Medicine & Health,5257.0,5300.0,4699.0,43.0,0.9919,10533.0,bridge
Geochemistry & Geophysics,Earth & Environmental,5227.0,5154.0,3903.0,-73.0,1.0142,10260.0,bridge
Energy & Fuels,Other,4572.0,4662.0,2952.0,90.0,0.9807,8947.0,bridge
Emergency Medicine,Medicine & Health,4535.0,4485.0,4047.0,-50.0,1.0111,9017.0,bridge
Zoology,Other,4473.0,4482.0,3429.0,9.0,0.9980,8766.0,bridge
Acoustics,Physics & Astronomy,3992.0,3920.0,3343.0,-72.0,1.0184,7875.0,bridge
Fisheries,Earth & Environmental,3927.0,3919.0,3227.0,-8.0,1.0020,7746.0,bridge
Developmental Biology,Biology & Biochemistry,3851.0,3798.0,3322.0,-53.0,1.0140,7624.0,bridge
Marine & Freshwater Biology,Biology & Biochemistry,3616.0,3576.0,2635.0,-40.0,1.0112,7150.0,bridge
Construction & Building Technology,Engineering & Technology,3450.0,3501.0,2726.0,51.0,0.9854,6840.0,bridge
Toxicology,Other,3230.0,3212.0,2590.0,-18.0,1.0056,6416.0,bridge
Social Sciences - Other Topics,Social Sciences,3101.0,3147.0,2321.0,46.0,0.9854,6102.0,bridge
Thermodynamics,Other,3117.0,3126.0,2085.0,9.0,0.9971,6184.0,bridge
Remote Sensing,Other,3107.0,3121.0,2293.0,14.0,0.9955,6204.0,bridge
Polymer Science,Other,3001.0,2981.0,1980.0,-20.0,1.0067,5960.0,bridge
Evolutionary Biology,Biology & Biochemistry,2485.0,2445.0,1648.0,-40.0,1.0164,4858.0,bridge
Transplantation,Other,2321.0,2245.0,1867.0,-76.0,1.0339,4565.0,bridge
Parasitology,Other,2231.0,2210.0,1864.0,-21.0,1.0095,4431.0,bridge
Entomology,Biology & Biochemistry,2259.0,2080.0,1470.0,-179.0,1.0861,4334.0,bridge
Automation & Control Systems,Engineering & Technology,2090.0,2124.0,1438.0,34.0,0.9840,4166.0,bridge
Mycology,Biology & Biochemistry,2084.0,2117.0,1696.0,33.0,0.9844,4171.0,bridge
Nuclear Science & Technology,Physics & Astronomy,2034.0,2035.0,1380.0,1.0,0.9995,4046.0,bridge
Electrochemistry,Chemistry,1965.0,1959.0,1208.0,-6.0,1.0031,3912.0,bridge
Audiology & Speech,Medicine & Health,3915.0,0.0,0.0,-3915.0,,3915.0,output-dominant
Anthropology,Social Sciences,1821.0,1820.0,1513.0,-1.0,1.0005,3560.0,bridge
Legal Medicine,Medicine & Health,1794.0,1809.0,1525.0,15.0,0.9917,3581.0,bridge
Language Pathology-Audiology & Speech-Language Pathology,Medicine & Health,0.0,3471.0,0.0,3471.0,0.0000,3471.0,input-dominant
Metallurgy & Metallurgical Engineering,Engineering & Technology,1608.0,1603.0,1088.0,-5.0,1.0031,3196.0,bridge
Criminology & Penology,Social Sciences,1542.0,1567.0,1273.0,25.0,0.9840,3071.0,bridge
Mathematical & Computational Biology,Biology & Biochemistry,1532.0,1480.0,1142.0,-52.0,1.0351,3005.0,bridge
Family Studies,Social Sciences,1494.0,1502.0,1216.0,8.0,0.9947,2957.0,bridge
Information Science & Library Science,Social Sciences,1419.0,1441.0,1078.0,22.0,0.9847,2814.0,bridge
Communication,Social Sciences,1348.0,1352.0,983.0,4.0,0.9970,2583.0,bridge
Anatomy & Morphology,Medicine & Health,1324.0,1348.0,1113.0,24.0,0.9822,2670.0,bridge
Water Resources,Other,1102.0,1118.0,787.0,16.0,0.9857,2213.0,bridge
Linguistics,Arts & Humanities,1127.0,1089.0,843.0,-38.0,1.0349,2198.0,bridge
Government & Law,Social Sciences,1061.0,1058.0,841.0,-3.0,1.0028,2056.0,bridge
Mechanics,Engineering & Technology,1032.0,1014.0,614.0,-18.0,1.0178,2043.0,bridge
Reproductive Biology,Other,1019.0,1017.0,787.0,-2.0,1.0020,2036.0,bridge
Oceanography,Earth & Environmental,928.0,904.0,642.0,-24.0,1.0265,1831.0,bridge
Geography,Earth & Environmental,891.0,913.0,630.0,22.0,0.9759,1773.0,bridge
Sociology,Social Sciences,822.0,825.0,586.0,3.0,0.9964,1577.0,bridge
Telecommunications,Other,774.0,759.0,382.0,-15.0,1.0198,1531.0,bridge
Microscopy,Other,675.0,689.0,594.0,14.0,0.9797,1364.0,bridge
Crystallography,Chemistry,679.0,644.0,268.0,-35.0,1.0543,1322.0,bridge
Public Administration,Other,649.0,660.0,428.0,11.0,0.9833,1286.0,bridge
Spectroscopy,Other,581.0,603.0,344.0,22.0,0.9635,1184.0,bridge
Medical Informatics,Medicine & Health,529.0,536.0,448.0,7.0,0.9869,1065.0,bridge
Social Work,Other,469.0,463.0,349.0,-6.0,1.0130,929.0,bridge
Archaeology,Arts & Humanities,422.0,436.0,322.0,14.0,0.9679,837.0,bridge
Operations Research & Management Science,Engineering & Technology,405.0,397.0,231.0,-8.0,1.0202,800.0,bridge
Transportation,Social Sciences,387.0,414.0,268.0,27.0,0.9348,800.0,bridge
Arts & Humanities - Other Topics,Arts & Humanities,390.0,400.0,294.0,10.0,0.9750,766.0,bridge
International Relations,Social Sciences,389.0,377.0,307.0,-12.0,1.0318,750.0,bridge
Demography,Social Sciences,372.0,371.0,245.0,-1.0,1.0027,736.0,bridge
Area Studies,Social Sciences,353.0,351.0,283.0,-2.0,1.0057,700.0,bridge
Art,Arts & Humanities,327.0,325.0,260.0,-2.0,1.0062,651.0,bridge
Imaging Science & Photographic Technology,Engineering & Technology,320.0,313.0,225.0,-7.0,1.0224,633.0,bridge
Religion,Other,297.0,300.0,240.0,3.0,0.9900,586.0,bridge
History,Arts & Humanities,263.0,258.0,205.0,-5.0,1.0194,515.0,bridge
Audiology & Speech-Language Pathology,Medicine & Health,0.0,468.0,0.0,468.0,0.0000,468.0,input-dominant
Cultural Studies,Social Sciences,224.0,238.0,151.0,14.0,0.9412,454.0,bridge
Philosophy,Arts & Humanities,233.0,222.0,155.0,-11.0,1.0495,445.0,bridge
Paleontology,Other,212.0,218.0,146.0,6.0,0.9725,429.0,bridge
Music,Arts & Humanities,214.0,212.0,142.0,-2.0,1.0094,422.0,bridge
Social Issues,Other,193.0,201.0,133.0,8.0,0.9602,392.0,bridge
History & Philosophy of Science,Arts & Humanities,182.0,194.0,119.0,12.0,0.9381,374.0,bridge
Integrative & Complementary Medicine,Medicine & Health,183.0,160.0,116.0,-23.0,1.1438,343.0,bridge
Mineralogy,Chemistry,148.0,135.0,93.0,-13.0,1.0963,283.0,bridge
Theater,Other,134.0,134.0,134.0,0.0,1.0000,268.0,bridge
Robotics,Other,119.0,127.0,75.0,8.0,0.9370,246.0,bridge
Literature,Arts & Humanities,116.0,114.0,100.0,-2.0,1.0175,228.0,bridge
Medical Ethics,Medicine & Health,115.0,115.0,113.0,0.0,1.0000,230.0,bridge
Architecture,Arts & Humanities,88.0,82.0,64.0,-6.0,1.0732,170.0,bridge
Ethnic Studies,Social Sciences,78.0,87.0,46.0,9.0,0.8966,163.0,bridge
Urban Studies,Other,73.0,85.0,40.0,12.0,0.8588,158.0,bridge
Women's Studies,Other,59.0,65.0,36.0,6.0,0.9077,124.0,bridge
Mathematical Methods In Social Sciences,Social Sciences,62.0,61.0,37.0,-1.0,1.0164,123.0,bridge
Language Pathology-Neurosciences & Neurology,Other,0.0,76.0,0.0,76.0,0.0000,76.0,input-dominant
Mining & Mineral Processing,Engineering & Technology,34.0,35.0,19.0,1.0,0.9714,69.0,bridge
Film, Radio & Television,Arts & Humanities,30.0,31.0,21.0,1.0,0.9677,61.0,bridge
Language Pathology-Psychology,Social Sciences,0.0,58.0,0.0,58.0,0.0000,58.0,input-dominant
Language Pathology-Otorhinolaryngology,Medicine & Health,0.0,48.0,0.0,48.0,0.0000,48.0,input-dominant
Tropical Medicine,Medicine & Health,16.0,24.0,16.0,8.0,0.6667,40.0,bridge
Language Pathology-Acoustics,Physics & Astronomy,0.0,26.0,0.0,26.0,0.0000,26.0,input-dominant
Language Pathology-Science & Technology - Other Topics,Multidisciplinary,0.0,22.0,0.0,22.0,0.0000,22.0,input-dominant
Biomedical Social Sciences,Medicine & Health,8.0,10.0,5.0,2.0,0.8000,18.0,bridge
Language Pathology-Education & Educational Research,Social Sciences,0.0,17.0,0.0,17.0,0.0000,17.0,input-dominant
Language Pathology-Linguistics,Arts & Humanities,0.0,17.0,0.0,17.0,0.0000,17.0,input-dominant
Asian Studies,Social Sciences,8.0,7.0,5.0,-1.0,1.1429,15.0,bridge
Dance,Arts & Humanities,7.0,7.0,5.0,0.0,1.0000,14.0,bridge
Language Pathology-Biochemistry & Molecular Biology,Chemistry,0.0,13.0,0.0,13.0,0.0000,13.0,input-dominant
Language Pathology-Orthopedics,Medicine & Health,0.0,13.0,0.0,13.0,0.0000,13.0,input-dominant
Language Pathology-Pediatrics,Medicine & Health,0.0,11.0,0.0,11.0,0.0000,11.0,input-dominant
Language Pathology-Behavioral Sciences,Other,0.0,10.0,0.0,10.0,0.0000,10.0,input-dominant
Language Pathology-General & Internal Medicine,Medicine & Health,0.0,10.0,0.0,10.0,0.0000,10.0,input-dominant
Language Pathology-Genetics & Heredity,Biology & Biochemistry,0.0,10.0,0.0,10.0,0.0000,10.0,input-dominant
Language Pathology-Public, Environmental & Occupational Health,Medicine & Health,0.0,10.0,0.0,10.0,0.0000,10.0,input-dominant
Language Pathology-Engineering,Engineering & Technology,0.0,9.0,0.0,9.0,0.0000,9.0,input-dominant
Language Pathology-Geriatrics & Gerontology,Medicine & Health,0.0,7.0,0.0,7.0,0.0000,7.0,isolated
Language Pathology-Oncology,Medicine & Health,0.0,7.0,0.0,7.0,0.0000,7.0,isolated
Language Pathology-Psychiatry,Medicine & Health,0.0,7.0,0.0,7.0,0.0000,7.0,isolated
Language Pathology-Research & Experimental Medicine,Medicine & Health,0.0,7.0,0.0,7.0,0.0000,7.0,isolated
Language Pathology-Ophthalmology,Medicine & Health,0.0,5.0,0.0,5.0,0.0000,5.0,isolated
Classics,Arts & Humanities,2.0,2.0,2.0,0.0,1.0000,4.0,isolated
Language Pathology-Cardiovascular System & Cardiology,Medicine & Health,0.0,4.0,0.0,4.0,0.0000,4.0,isolated
Language Pathology-Environmental Sciences & Ecology,Earth & Environmental,0.0,4.0,0.0,4.0,0.0000,4.0,isolated
Language Pathology-Dentistry, Oral Surgery & Medicine,Medicine & Health,0.0,3.0,0.0,3.0,0.0000,3.0,isolated
Language Pathology-Endocrinology & Metabolism,Medicine & Health,0.0,3.0,0.0,3.0,0.0000,3.0,isolated
Language Pathology-Obstetrics & Gynecology,Medicine & Health,0.0,3.0,0.0,3.0,0.0000,3.0,isolated
Language Pathology-Allergy,Medicine & Health,0.0,2.0,0.0,2.0,0.0000,2.0,isolated
Language Pathology-Astronomy & Astrophysics,Physics & Astronomy,0.0,2.0,0.0,2.0,0.0000,2.0,isolated
Language Pathology-Biotechnology & Applied Microbiology,Biology & Biochemistry,0.0,2.0,0.0,2.0,0.0000,2.0,isolated
Language Pathology-Chemistry,Chemistry,0.0,2.0,0.0,2.0,0.0000,2.0,isolated
Language Pathology-Computer Science,Engineering & Technology,0.0,2.0,0.0,2.0,0.0000,2.0,isolated
Language Pathology-Criminology & Penology,Social Sciences,0.0,2.0,0.0,2.0,0.0000,2.0,isolated
Language Pathology-Developmental Biology,Biology & Biochemistry,0.0,2.0,0.0,2.0,0.0000,2.0,isolated
Language Pathology-Health Care Sciences & Services,Other,0.0,2.0,0.0,2.0,0.0000,2.0,isolated
Language Pathology-Life Sciences & Biomedicine - Other Topics,Multidisciplinary,0.0,2.0,0.0,2.0,0.0000,2.0,isolated
Language Pathology-Pharmacology & Pharmacy,Medicine & Health,0.0,2.0,0.0,2.0,0.0000,2.0,isolated
Language Pathology-Radiology, Nuclear Medicine & Medical Imaging,Medicine & Health,0.0,2.0,0.0,2.0,0.0000,2.0,isolated
Language Pathology-Substance Abuse,Medicine & Health,0.0,2.0,0.0,2.0,0.0000,2.0,isolated
Language Pathology-Surgery,Medicine & Health,0.0,2.0,0.0,2.0,0.0000,2.0,isolated
Language Pathology-Biodiversity & Conservation,Earth & Environmental,0.0,1.0,0.0,1.0,0.0000,1.0,isolated
Language Pathology-Biophysics,Biology & Biochemistry,0.0,1.0,0.0,1.0,0.0000,1.0,isolated
Language Pathology-Business & Economics,Social Sciences,0.0,1.0,0.0,1.0,0.0000,1.0,isolated
Language Pathology-Dermatology,Medicine & Health,0.0,1.0,0.0,1.0,0.0000,1.0,isolated
Language Pathology-Ethnic Studies,Social Sciences,0.0,1.0,0.0,1.0,0.0000,1.0,isolated
Language Pathology-Family Studies,Social Sciences,0.0,1.0,0.0,1.0,0.0000,1.0,isolated
Language Pathology-Forestry,Earth & Environmental,0.0,1.0,0.0,1.0,0.0000,1.0,isolated
Language Pathology-Immunology,Medicine & Health,0.0,1.0,0.0,1.0,0.0000,1.0,isolated
Language Pathology-Materials Science,Engineering & Technology,0.0,1.0,0.0,1.0,0.0000,1.0,isolated
Language Pathology-Mathematics,Mathematics & Computer Science,0.0,1.0,0.0,1.0,0.0000,1.0,isolated
Language Pathology-Meteorology & Atmospheric Sciences,Earth & Environmental,0.0,1.0,0.0,1.0,0.0000,1.0,isolated
Language Pathology-Nuclear Science & Technology,Physics & Astronomy,0.0,1.0,0.0,1.0,0.0000,1.0,isolated
Language Pathology-Nursing,Medicine & Health,0.0,1.0,0.0,1.0,0.0000,1.0,isolated
Language Pathology-Physiology,Medicine & Health,0.0,1.0,0.0,1.0,0.0000,1.0,isolated
Language Pathology-Respiratory System,Medicine & Health,0.0,1.0,0.0,1.0,0.0000,1.0,isolated
Language Pathology-Sociology,Social Sciences,0.0,1.0,0.0,1.0,0.0000,1.0,isolated
Language Pathology-Transportation,Social Sciences,0.0,1.0,0.0,1.0,0.0000,1.0,isolated
Language Pathology-Urology & Nephrology,Medicine & Health,0.0,1.0,0.0,1.0,0.0000,1.0,isolated
