name,category,out,in,self,net,out_in_ratio,strength,role
Physics,Physics & Astronomy,3160917.0,3160524.0,2827045.0,-393.0,1.0001,5987962.0,bridge
Astronomy & Astrophysics,Physics & Astronomy,2184066.0,2184934.0,1871428.0,868.0,0.9996,4352212.0,bridge
Genetics & Heredity,Biology & Biochemistry,641416.0,640398.0,620053.0,-1018.0,1.0016,1261506.0,bridge
Science & Technology - Other Topics,Multidisciplinary,500790.0,502731.0,463106.0,1941.0,0.9961,974080.0,bridge
Instruments & Instrumentation,Engineering & Technology,240423.0,239717.0,194791.0,-706.0,1.0029,479179.0,bridge
Oncology,Medicine & Health,215337.0,215621.0,197988.0,284.0,0.9987,419551.0,bridge
Biochemistry & Molecular Biology,Chemistry,193437.0,192515.0,172709.0,-922.0,1.0048,373806.0,bridge
Neurosciences & Neurology,Other,177309.0,177480.0,164462.0,171.0,0.9990,346299.0,bridge
General & Internal Medicine,Medicine & Health,171748.0,171376.0,159112.0,-372.0,1.0022,335179.0,bridge
Endocrinology & Metabolism,Medicine & Health,165587.0,165168.0,154736.0,-419.0,1.0025,325322.0,bridge
Cardiovascular System & Cardiology,Medicine & Health,122679.0,122603.0,113519.0,-76.0,1.0006,241681.0,bridge
Public, Environmental & Occupational Health,Medicine & Health,95441.0,96086.0,85423.0,645.0,0.9933,186406.0,bridge
Environmental Sciences & Ecology,Earth & Environmental,73258.0,73475.0,59583.0,217.0,0.9970,135655.0,bridge
Chemistry,Chemistry,72131.0,72017.0,58775.0,-114.0,1.0016,135864.0,bridge
Engineering,Engineering & Technology,59687.0,59189.0,46472.0,-498.0,1.0084,111395.0,bridge
Psychiatry,Medicine & Health,51290.0,51471.0,48159.0,181.0,0.9965,101375.0,bridge
Cell Biology,Biology & Biochemistry,43628.0,43674.0,39300.0,46.0,0.9989,85938.0,bridge
Psychology,Social Sciences,42679.0,42649.0,37637.0,-30.0,1.0007,82894.0,bridge
Geriatrics & Gerontology,Medicine & Health,41084.0,41254.0,37686.0,170.0,0.9959,81108.0,bridge
Pediatrics,Medicine & Health,39132.0,39150.0,35946.0,18.0,0.9995,76935.0,bridge
Immunology,Medicine & Health,39050.0,38746.0,34422.0,-304.0,1.0078,75895.0,bridge
Dentistry, Oral Surgery & Medicine,Medicine & Health,37818.0,37860.0,36197.0,42.0,0.9989,75062.0,bridge
Gastroenterology & Hepatology,Medicine & Health,37140.0,37340.0,34126.0,200.0,0.9946,73513.0,bridge
Meteorology & Atmospheric Sciences,Earth & Environmental,36884.0,37135.0,33224.0,251.0,0.9932,72718.0,bridge
Nutrition & Dietetics,Medicine & Health,34449.0,34397.0,30418.0,-52.0,1.0015,67943.0,bridge
Materials Science,Engineering & Technology,31384.0,31288.0,23359.0,-96.0,1.0031,60678.0,bridge
Pharmacology & Pharmacy,Medicine & Health,30015.0,29986.0,26044.0,-29.0,1.0010,58808.0,bridge
Biotechnology & Applied Microbiology,Biology & Biochemistry,29246.0,29071.0,24381.0,-175.0,1.0060,56792.0,bridge
Allergy,Medicine & Health,23992.0,23997.0,22306.0,5.0,0.9998,47461.0,bridge
Obstetrics & Gynecology,Medicine & Health,23559.0,23579.0,21462.0,20.0,0.9992,46748.0,bridge
Computer Science,Engineering & Technology,23376.0,23353.0,18637.0,-23.0,1.0010,44763.0,bridge
Orthopedics,Medicine & Health,21006.0,20995.0,19479.0,-11.0,1.0005,41436.0,bridge
Radiology, Nuclear Medicine & Medical Imaging,Medicine & Health,20432.0,20395.0,18583.0,-37.0,1.0018,40518.0,bridge
Hematology,Medicine & Health,20128.0,19880.0,17589.0,-248.0,1.0125,39724.0,bridge
Research & Experimental Medicine,Medicine & Health,19660.0,19679.0,17453.0,19.0,0.9990,38949.0,bridge
Business & Economics,Social Sciences,19252.0,19299.0,16622.0,47.0,0.9976,37345.0,bridge
Agriculture,Other,19097.0,18988.0,14550.0,-109.0,1.0057,36419.0,bridge
Rheumatology,Other,17870.0,17844.0,16805.0,-26.0,1.0015,35538.0,bridge
Life Sciences & Biomedicine - Other Topics,Multidisciplinary,17822.0,17879.0,15115.0,57.0,0.9968,35199.0,bridge
Surgery,Medicine & Health,15939.0,16005.0,14268.0,66.0,0.9959,31572.0,bridge
Infectious Diseases,Medicine & Health,15844.0,16055.0,13985.0,211.0,0.9869,31332.0,bridge
Pathology,Other,15468.0,15458.0,14211.0,-10.0,1.0006,30763.0,bridge
Forestry,Earth & Environmental,14827.0,14712.0,11616.0,-115.0,1.0078,28475.0,bridge
Urology & Nephrology,Medicine & Health,14544.0,14658.0,12592.0,114.0,0.9922,28967.0,bridge
Sport Sciences,Other,14313.0,14448.0,13013.0,135.0,0.9907,28411.0,bridge
Microbiology,Biology & Biochemistry,13673.0,13616.0,11208.0,-57.0,1.0042,26803.0,bridge
Behavioral Sciences,Other,13479.0,13502.0,11478.0,23.0,0.9983,26629.0,bridge
Anesthesiology,Medicine & Health,13464.0,13466.0,12357.0,2.0,0.9999,26812.0,bridge
Health Care Sciences & Services,Other,13319.0,13283.0,11471.0,-36.0,1.0027,26300.0,bridge
Otorhinolaryngology,Medicine & Health,12600.0,12566.0,11690.0,-34.0,1.0027,25090.0,bridge
Physiology,Medicine & Health,11981.0,11987.0,10523.0,6.0,0.9995,23875.0,bridge
Nursing,Medicine & Health,11860.0,11860.0,10627.0,0.0,1.0000,23425.0,bridge
Plant Sciences,Other,11736.0,11797.0,8783.0,61.0,0.9948,22950.0,bridge
Education & Educational Research,Social Sciences,11406.0,11496.0,9733.0,90.0,0.9922,22518.0,bridge
